"game_id","play_index","row_type","play_type","pos_team","def_pos_team","penalty_flag","penalty_yards_signed","penalized_team","penalty_no_play","penalty_declined","yards_gained","penalty_text","play_text"
"20250906_e064",4,"penalty_no_play","penalty_no_play","UChicago","Carnegie Mellon",TRUE,-5,"UChicago",TRUE,FALSE,,"PENALTY UCHI Delay Of Game (Ruff,Jack) 5 yards from UCHI23 to UCHI18. NO PLAY.","PENALTY UCHI Delay Of Game (Ruff,Jack) 5 yards from UCHI23 to UCHI18. NO PLAY."
"20250906_e064",11,"play","pass_complete","Carnegie Mellon","UChicago",TRUE,11,"UChicago",FALSE,FALSE,10,"PENALTY UCHI Face Mask (Rochester,EJ) 11 yard from UCHI22 to UCHI11, 1ST DOWN.","Shotgun McGinnis IV,Joey pass complete short right to McCullough,Nick caught at UCHI25, for 10 yards to the UCHI22 (Rochester,EJ), 1ST DOWN, PENALTY UCHI Face Mask (Rochester,EJ) 11 yard from UCHI22 to UCHI11, 1ST DOWN."
"20250906_e064",19,"penalty_no_play","penalty_no_play","UChicago","Carnegie Mellon",TRUE,-5,"UChicago",TRUE,FALSE,,"PENALTY UCHI Delay Of Game (Tan,Tad) 5 yards from UCHI31 to UCHI26. NO PLAY.","PENALTY UCHI Delay Of Game (Tan,Tad) 5 yards from UCHI31 to UCHI26. NO PLAY."
"20250906_e064",20,"play","punt_no_return","UChicago","Carnegie Mellon",TRUE,,"Carnegie Mellon",FALSE,TRUE,,"PENALTY CMU Running Into The Kicker declined.","Tan,Tad punt 38 yards to the CMU36 PENALTY CMU Running Into The Kicker declined."
"20250906_e064",28,"penalty_no_play","penalty_no_play","UChicago","Carnegie Mellon",TRUE,-3,"UChicago",TRUE,FALSE,,"PENALTY UCHI Illegal Substitution (Rochester,EJ) 3 yards from UCHI06 to UCHI03. NO PLAY.","PENALTY UCHI Illegal Substitution (Rochester,EJ) 3 yards from UCHI06 to UCHI03. NO PLAY."
"20250906_e064",34,"penalty_no_play","penalty_no_play","Carnegie Mellon","UChicago",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU False Start (McCullough,Brendan) 5 yards from UCHI42 to UCHI47. NO PLAY.","PENALTY CMU False Start (McCullough,Brendan) 5 yards from UCHI42 to UCHI47. NO PLAY."
"20250906_e064",39,"penalty_no_play","penalty_no_play","Carnegie Mellon","UChicago",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU False Start (Alligood,Sam) 5 yards from UCHI13 to UCHI18. NO PLAY.","PENALTY CMU False Start (Alligood,Sam) 5 yards from UCHI13 to UCHI18. NO PLAY."
"20250906_e064",41,"penalty_no_play","penalty_no_play","Carnegie Mellon","UChicago",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU False Start (Katarincic,Charlie) 5 yards from UCHI14 to UCHI19. NO PLAY.","PENALTY CMU False Start (Katarincic,Charlie) 5 yards from UCHI14 to UCHI19. NO PLAY."
"20250906_e064",69,"penalty_no_play","penalty_no_play","UChicago","Carnegie Mellon",TRUE,-5,"UChicago",TRUE,FALSE,,"PENALTY UCHI Delay Of Game (Ruff,Jack) 5 yards from CMU42 to CMU47. NO PLAY.","PENALTY UCHI Delay Of Game (Ruff,Jack) 5 yards from CMU42 to CMU47. NO PLAY."
"20250906_e064",86,"play","pass_complete","Carnegie Mellon","UChicago",TRUE,15,"UChicago",FALSE,FALSE,5,"PENALTY UCHI UNR: Unnecessary Roughness (Kilgallen,Declan) 15 yards from UCHI41 to UCHI26, 1ST DOWN.","No Huddle-Shotgun McGinnis IV,Joey pass complete short right to McCullough,Brendan caught at UCHI42, for 5 yards to the UCHI41 (Kilgallen,Declan) PENALTY UCHI UNR: Unnecessary Roughness (Kilgallen,Declan) 15 yards from UCHI41 to UCHI26, 1ST DOWN."
